DB Item Name,DB Price,Current Xero Code,Matched Xero Code,Xero Name,Xero Price,Xero Account,Xero Status,Match Score,Price Match
"K9 Katering - Lamb Ribs (200g)",58.32,K9004,K9004,"K9 Katering - Lamb Ribs (200g)",58.32,106.104,Active,1.00,Yes
"K9 Katering - Lamb Sprinkle Topper (100g)",58.32,K9047,K9047,"K9 Katering - Lamb Sprinkle Topper (100g)",58.32,106.147,Active,1.00,Yes
"K9 Katering - Lamb Tubes (100g) x 12 Units",116.64,K9029,K9029,"K9 Katering - Lamb Tubes (100g) x 12 Units",116.64,106.129,Active,1.00,Yes
"K9 Katering - Peking Duck Wing (5-pack)",81,K9002,K9002,"K9 Katering - Peking Duck Wing (5-pack)",81,106.102,Active,1.00,Yes
"K9 Katering - Pig Ear Strips (150g)",70.02,K9009,K9009,"K9 Katering - Pig Ear Strips (150g)",70.02,106.109,Active,1.00,Yes
"K9 Katering - Pork Jerky (150g)",171.24,K9031,K9031,"K9 Katering - Pork Jerky (150g)",171.24,106.132,Active,1.00,Yes
"K9 Katering - Shark Cartilage (150g)",77.82,K9005,K9005,"K9 Katering - Shark Cartilage (150g)",77.82,106.105,Active,1.00,Yes
"K9 Katering - The Showbag (150g)",46.62,K9048,K9048,"K9 Katering - The Showbag (150g)",46.62,106.148,Active,1.00,Yes
"K9 Katering - Turkey Jerky (150g)",97.32,K9012,K9012,"K9 Katering - Turkey Jerky (150g)",97.32,106.112,Active,1.00,Yes
"K9 Katering - Turkey Necks (200g)",85.62,K9026,K9026,"K9 Katering - Turkey Necks (200g)",85.62,106.126,Active,1.00,Yes
"K9 Katering - Woof 'N Shake Topper (100g)",58.32,K9018,K9018,"K9 Katering - Woof 'N Shake Topper (100g)",58.32,106.118,Active,1.00,Yes
"KOJA - Bickie Bites - Choc Brownie (150g)",32.4,KOJ005,KOJ005,"KOJA - Bickie Bites - Choc Brownie (150g)",32.4,109.00005,Active,1.00,Yes
"KOJA - Bickie Bites - Choc Chip (150g)",32.4,KOJ011,KOJ011,"KOJA - Bickie Bites - Choc Chip (150g)",32.4,109.00011,Active,1.00,Yes
"KOJA - Bickie Bites - Gingerbread (150g)",32.4,KOJ015,KOJ015,"KOJA - Bickie Bites - Gingerbread (150g)",32.4,109.00015,Active,1.00,Yes
"KOJA - Choc Drizzle Wholegrain Popcorn Bar (22g)",43.2,KOJ017,KOJ017,"KOJA - Choc Drizzle Wholegrain Popcorn Bar (22g)",43.2,109.000017,Active,1.00,Yes
"KOJA - Choc Protein Bar - Choc Berry (45g)",40.64,KOJ010,KOJ010,"KOJA - Choc Protein Bar - Choc Berry (45g)",40.64,109.0001,Active,1.00,Yes
"KOJA - Choc Protein Bar - Double Chocolate (45g)",40.64,KOJ003,KOJ003,"KOJA - Choc Protein Bar - Double Chocolate (45g)",40.64,109.00003,Active,1.00,Yes
"KOJA - Choc Protein Bar - Peanut Fudge (45g)",40.64,KOJ004,KOJ004,"KOJA - Choc Protein Bar - Peanut Fudge (45g)",40.64,109.00004,Active,1.00,Yes
"KOJA - Oat Bar - Cinnamon & Raisin (60g)",26.64,KOJ009,KOJ009,"KOJA - Oat Bar - Cinnamon & Raisin (60g)",26.64,109.00009,Active,1.00,Yes
